ST,STATE,ST_ABBR,STCNTY,COUNTY,FIPS,LOCATION,AREA_SQMI,E_TOTPOP,M_TOTPOP,E_HU,M_HU,E_HH,M_HH,E_POV150,M_POV150,E_UNEMP,M_UNEMP,E_HBURD,M_HBURD,E_NOHSDP,M_NOHSDP,E_UNINSUR,M_UNINSUR,E_AGE65,M_AGE65,E_AGE17,M_AGE17,E_DISABL,M_DISABL,E_SNGPNT,M_SNGPNT,E_LIMENG,M_LIMENG,E_MINRTY,M_MINRTY,E_MUNIT,M_MUNIT,E_MOBILE,M_MOBILE,E_CROWD,M_CROWD,E_NOVEH,M_NOVEH,E_GROUPQ,M_GROUPQ,EP_POV150,MP_POV150,EP_UNEMP,MP_UNEMP,EP_HBURD,MP_HBURD,EP_NOHSDP,MP_NOHSDP,EP_UNINSUR,MP_UNINSUR,EP_AGE65,MP_AGE65,EP_AGE17,MP_AGE17,EP_DISABL,MP_DISABL,EP_SNGPNT,MP_SNGPNT,EP_LIMENG,MP_LIMENG,EP_MINRTY,MP_MINRTY,EP_MUNIT,MP_MUNIT,EP_MOBILE,MP_MOBILE,EP_CROWD,MP_CROWD,EP_NOVEH,MP_NOVEH,EP_GROUPQ,MP_GROUPQ,EPL_POV150,EPL_UNEMP,EPL_HBURD,EPL_NOHSDP,EPL_UNINSUR,SPL_THEME1,RPL_THEME1,EPL_AGE65,EPL_AGE17,EPL_DISABL,EPL_SNGPNT,EPL_LIMENG,SPL_THEME2,RPL_THEME2,EPL_MINRTY,SPL_THEME3,RPL_THEME3,EPL_MUNIT,EPL_MOBILE,EPL_CROWD,EPL_NOVEH,EPL_GROUPQ,SPL_THEME4,RPL_THEME4,SPL_THEMES,RPL_THEMES,F_POV150,F_UNEMP,F_HBURD,F_NOHSDP,F_UNINSUR,F_THEME1,F_AGE65,F_AGE17,F_DISABL,F_SNGPNT,F_LIMENG,F_THEME2,F_MINRTY,F_THEME3,F_MUNIT,F_MOBILE,F_CROWD,F_NOVEH,F_GROUPQ,F_THEME4,F_TOTAL,E_DAYPOP,E_NOINT,M_NOINT,E_AFAM,M_AFAM,E_HISP,M_HISP,E_ASIAN,M_ASIAN,E_AIAN,M_AIAN,E_NHPI,M_NHPI,E_TWOMORE,M_TWOMORE,E_OTHERRACE,M_OTHERRACE,EP_NOINT,MP_NOINT,EP_AFAM,MP_AFAM,EP_HISP,MP_HISP,EP_ASIAN,MP_ASIAN,EP_AIAN,MP_AIAN,EP_NHPI,MP_NHPI,EP_TWOMORE,MP_TWOMORE,EP_OTHERRACE,MP_OTHERRACE
01,Alabama,AL,01001,Autauga,01001,"Autauga County, Alabama",594.455837710768,55639,0,23697,68,21559,366,12611,1349,736,185,5029,576,4273,562,4345,725,8490,85,13143,49,9658,856,1608,302,363,229,14479,566,918,292,4313,440,339,162,1167,320,578,157,22.9,2.4,2.9,0.7,23.3,2.6,11.3,1.5,8.0,1.3,15.3,0.2,23.6,0.1,17.7,1.6,7.5,1.4,0.7,0.4,26.0,1.0,3.9,1.2,18.2,1.8,1.6,0.8,5.4,1.5,1.0,0.3,0.1061,0.0152,0.7121,0.0909,0.1212,1.0455,0.0455,0.0758,0.8788,0.4091,0.6364,0.5758,2.5759,0.5909,0.4242,0.4242,0.4242,0.7727,0.3333,0.5606,0.3636,0.0909,2.1211,0.3182,6.1667,0.1667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41810,7100,913,10849,345,1601,0,649,174,155,102,0,29,1124,374,101,101,12.9,0.0,19.5,0.6,2.9,0.0,1.2,0.3,0.3,0.2,0.0,0.1,2.0,0.7,0.2,0.3
01,Alabama,AL,01003,Baldwin,01003,"Baldwin County, Alabama",1589.835293746298,218289,0,116747,180,84047,1143,36413,2802,4027,714,19350,1526,14823,1344,20501,1932,44716,109,46993,0,30615,1565,3317,547,1593,486,37334,1363,19513,979,11893,868,1280,364,2627,397,2954,403,16.9,1.3,3.9,0.7,23.0,1.8,9.5,0.9,9.5,0.9,20.5,0.1,21.5,0.0,14.2,0.7,3.9,0.6,0.8,0.2,17.1,0.6,16.7,0.8,10.2,0.7,1.5,0.4,3.1,0.5,1.4,0.2,0.0152,0.1364,0.6667,0.0303,0.4394,1.288,0.1364,0.7727,0.3939,0.1364,0.0455,0.6364,1.9849,0.197,0.2121,0.2121,0.2121,1.0,0.1212,0.5152,0.0455,0.3485,2.0304,0.2576,5.5154,0.0606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,218607,24453,2477,19027,744,9947,0,2033,352,1327,371,10,16,4250,871,740,740,11.4,0.0,8.7,0.3,4.6,0.0,0.9,0.2,0.6,0.2,0.0,0.1,1.9,0.4,0.3,0.2
01,Alabama,AL,01005,Barbour,01005,"Barbour County, Alabama",885.007617849198,25026,0,12057,119,9322,338,8965,673,649,182,2305,298,4497,387,2362,311,4777,16,5222,29,4159,287,1029,217,433,205,13694,266,170,77,3644,347,350,192,1039,202,2910,264,40.6,3.0,6.9,1.9,24.7,3.1,25.3,2.2,10.7,1.4,19.1,0.1,20.9,0.1,18.8,1.4,11.0,2.3,1.8,0.9,54.7,1.1,1.4,0.6,30.2,2.8,3.8,2.1,11.1,2.1,11.6,1.1,0.8939,0.6667,0.803,1.0,0.7121,4.0757,0.9697,0.5152,0.2424,0.5455,0.9697,0.9242,3.197,0.9697,0.8182,0.8182,0.8182,0.4091,0.8182,0.9848,0.9242,0.9848,4.1211,1.0,12.212,1.0,0,0,0,1,0,1,0,0,0,1,1,2,0,0,0,0,1,1,1,3,6,27133,6249,675,11889,179,1110,0,122,25,81,63,1,2,334,149,157,157,28.3,0.3,47.5,0.7,4.4,0.0,0.5,0.1,0.3,0.3,0.0,0.1,1.3,0.6,0.6,0.4
01,Alabama,AL,01007,Bibb,01007,"Bibb County, Alabama",622.469288011134,22374,0,9237,82,7259,299,5730,907,667,260,1580,319,3056,414,1878,387,3676,125,4584,0,3748,551,790,252,75,107,5724,158,228,112,2943,327,91,58,481,226,1657,221,27.6,4.4,7.4,2.8,21.8,4.3,19.1,2.6,9.1,1.9,16.4,0.6,20.5,0.0,18.1,2.6,10.9,3.4,0.4,0.5,25.6,0.7,2.5,1.2,31.9,3.5,1.3,0.8,6.6,3.1,7.4,1.0,0.3636,0.7424,0.5758,0.803,0.3485,2.8333,0.6515,0.197,0.1364,0.4697,0.9545,0.3182,2.0758,0.2576,0.4091,0.4091,0.4091,0.6061,0.8788,0.3485,0.5606,0.9242,3.3182,0.9242,8.6364,0.7121,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,2,18799,3839,626,4971,111,600,0,56,81,12,25,0,23,85,67,0,0,18.5,0.2,22.2,0.5,2.7,0.0,0.3,0.4,0.1,0.1,0.0,0.2,0.4,0.3,0.0,0.2
01,Alabama,AL,01009,Blount,01009,"Blount County, Alabama",644.89037516718,57755,0,24404,87,21205,430,13624,1151,1253,301,4060,431,6838,499,5746,695,10382,106,13372,85,8564,775,1313,262,801,263,7690,343,167,95,6043,515,385,139,1077,275,564,144,23.8,2.0,5.2,1.2,19.1,2.0,17.2,1.3,10.0,1.2,18.0,0.2,23.2,0.1,15.0,1.4,6.2,1.2,1.5,0.5,13.3,0.6,0.7,0.4,24.8,2.1,1.8,0.7,5.1,1.3,1.0,0.2,0.1364,0.3788,0.2273,0.5606,0.5152,1.8183,0.2424,0.3788,0.7879,0.1667,0.3485,0.8788,2.5607,0.5758,0.1061,0.1061,0.1061,0.1212,0.6061,0.6212,0.2879,0.0909,1.7273,0.0909,6.2124,0.1818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42172,8987,1175,771,167,5362,0,236,41,49,41,55,60,1038,181,179,179,15.7,0.0,1.3,0.3,9.3,0.0,0.4,0.1,0.1,0.1,0.1,0.1,1.8,0.3,0.3,0.4
01,Alabama,AL,01011,Bullock,01011,"Bullock County, Alabama",622.814752775634,10173,0,4591,60,3429,195,4128,593,139,107,695,180,1700,285,1025,290,1638,19,2279,147,1203,291,499,200,150,114,8011,199,73,79,1919,271,33,34,418,192,433,163,42.5,6.0,3.4,2.5,20.3,5.1,25.1,4.1,10.5,3.0,16.1,0.3,22.4,1.4,12.3,3.0,14.6,5.8,1.6,1.2,78.7,2.0,1.6,1.7,41.8,5.9,1.0,1.0,12.2,5.5,4.3,1.6,0.9394,0.0455,0.3939,0.9848,0.6818,3.0454,0.7121,0.1667,0.6364,0.0152,0.9848,0.8939,2.697,0.7121,0.9697,0.9697,0.9697,0.4848,1.0,0.1515,0.9545,0.8333,3.4241,0.9545,10.1362,0.8636,1,0,0,1,0,2,0,0,0,1,0,1,1,1,0,1,0,1,0,2,6,7990,3174,700,6980,140,824,0,137,117,0,19,0,19,68,76,2,2,32.6,0.6,68.6,1.4,8.1,0.0,1.3,1.2,0.0,0.3,0.0,0.3,0.7,0.7,0.0,0.1
01,Alabama,AL,01013,Butler,01013,"Butler County, Alabama",776.838207015692,19726,0,10119,57,6649,282,6133,794,551,194,1383,218,1886,286,1973,380,4092,98,4401,146,3067,317,500,152,59,88,9601,140,114,49,2349,272,72,44,359,97,320,139,31.6,4.1,6.5,2.3,20.8,3.2,13.6,2.1,10.1,1.9,20.7,0.5,22.3,0.7,15.8,1.6,7.5,2.3,0.3,0.5,48.7,0.7,1.1,0.5,23.2,2.7,1.1,0.7,5.4,1.4,1.6,0.7,0.6667,0.6212,0.4545,0.197,0.5455,2.4849,0.4848,0.8182,0.5758,0.2424,0.6364,0.2576,2.5304,0.5152,0.7727,0.7727,0.7727,0.2879,0.5606,0.2121,0.3636,0.4848,1.909,0.1818,7.697,0.4697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18138,4683,645,8773,76,290,0,261,41,66,52,0,19,211,94,0,0,24.1,0.2,44.5,0.4,1.5,0.0,1.3,0.2,0.3,0.3,0.0,0.2,1.1,0.5,0.0,0.2
01,Alabama,AL,01015,Calhoun,01015,"Calhoun County, Alabama",605.889068126954,114324,0,53722,190,44572,642,30323,2125,3769,560,9451,766,11787,887,11260,970,20245,127,24769,0,22943,1157,2972,387,754,226,32275,645,1977,299,8364,657,547,147,2270,317,2979,461,27.3,1.9,7.3,1.1,21.2,1.7,14.9,1.1,10.0,0.9,17.7,0.1,21.7,0.0,20.4,1.0,6.7,0.9,0.7,0.2,28.2,0.6,3.7,0.6,15.6,1.2,1.2,0.3,5.1,0.7,2.6,0.4,0.3333,0.7121,0.5,0.3788,0.5152,2.4394,0.4697,0.3333,0.4697,0.6818,0.4697,0.5758,2.5303,0.4848,0.4545,0.4545,0.4545,0.7576,0.2879,0.2879,0.2879,0.7424,2.3637,0.4697,7.7879,0.5152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118672,18425,1731,23669,380,4406,0,919,186,168,66,327,135,2610,414,176,176,16.5,0.1,20.7,0.3,3.9,0.0,0.8,0.2,0.1,0.1,0.3,0.1,2.3,0.4,0.2,0.2
01,Alabama,AL,01017,Chambers,01017,"Chambers County, Alabama",596.560640717302,33427,0,16985,70,13582,418,9277,926,548,195,2932,368,4140,488,3045,454,6530,45,6946,68,6113,518,895,242,111,110,15014,216,1432,308,2281,335,974,332,1000,243,558,163,28.2,2.8,3.6,1.2,21.6,2.6,17.4,2.0,9.2,1.4,19.5,0.1,20.8,0.2,18.5,1.6,6.6,1.8,0.4,0.3,44.9,0.6,8.4,1.8,13.4,2.0,7.2,2.4,7.4,1.8,1.7,0.5,0.4394,0.0606,0.5455,0.6061,0.3636,2.0152,0.3485,0.5758,0.1818,0.5,0.4545,0.3182,2.0303,0.2424,0.7121,0.7121,0.7121,0.8939,0.2121,1.0,0.6515,0.5455,3.303,0.9091,8.0606,0.5455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,27035,6618,745,13372,127,843,0,368,50,81,44,9,16,267,139,74,74,20.1,0.1,40.0,0.4,2.5,0.0,1.1,0.1,0.2,0.1,0.0,0.1,0.8,0.4,0.2,0.2
01,Alabama,AL,01019,Cherokee,01019,"Cherokee County, Alabama",553.5238774267,26035,0,16631,68,10836,476,6662,842,444,170,1968,347,3288,499,2458,429,5969,67,5003,73,4315,522,385,130,275,181,2256,251,250,105,4208,390,151,77,343,110,274,145,25.9,3.3,4.1,1.6,18.2,3.1,17.2,2.6,9.5,1.7,22.9,0.3,19.2,0.3,16.7,2.0,3.6,1.2,1.1,0.7,8.7,1.0,1.5,0.6,25.3,2.3,1.4,0.7,3.2,1.0,1.1,0.6,0.2424,0.1818,0.1364,0.5606,0.4394,1.5606,0.1818,0.9697,0.0455,0.3182,0.0,0.7424,2.0758,0.2576,0.0455,0.0455,0.0455,0.4697,0.6515,0.4545,0.0606,0.1667,1.803,0.1212,5.4849,0.0455,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,20542,4306,589,1250,120,432,0,26,35,150,124,0,23,398,176,0,0,16.7,0.1,4.8,0.5,1.7,0.0,0.1,0.1,0.6,0.5,0.0,0.1,1.5,0.7,0.0,0.1
