BEGIN_YEARMONTH,BEGIN_DAY,BEGIN_TIME,END_YEARMONTH,END_DAY,END_TIME,EPISODE_ID,EVENT_ID,STATE,STATE_FIPS,YEAR,MONTH_NAME,EVENT_TYPE,CZ_TYPE,CZ_FIPS,CZ_NAME,WFO,BEGIN_DATE_TIME,CZ_TIMEZONE,END_DATE_TIME,INJURIES_DIRECT,INJURIES_INDIRECT,DEATHS_DIRECT,DEATHS_INDIRECT,DAMAGE_PROPERTY,DAMAGE_CROPS,SOURCE,MAGNITUDE,MAGNITUDE_TYPE,FLOOD_CAUSE,CATEGORY,TOR_F_SCALE,TOR_LENGTH,TOR_WIDTH,TOR_OTHER_WFO,TOR_OTHER_CZ_STATE,TOR_OTHER_CZ_FIPS,TOR_OTHER_CZ_NAME,BEGIN_RANGE,BEGIN_AZIMUTH,BEGIN_LOCATION,END_RANGE,END_AZIMUTH,END_LOCATION,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EPISODE_NARRATIVE,EVENT_NARRATIVE,DATA_SOURCE
200111,24,1603,200111,24,1610,1124884,5273322,ALABAMA,1,2001,November,Tornado,C,15,CALHOUN,BMX,24-NOV-01 16:03:00,CST,24-NOV-01 16:10:00,5,0,0,0,250K,0K,NWS STORM SURVEY,,,,,F1,7.7,250,,,,,3,S,ALEXANDRIA,3,S,ALEXANDRIA,33.73333,-85.88333,33.81667,-85.8,,"A supercell thunderstorm produced a tornado just north of Anniston in Calhoun County.  The tornado began at 4:03 pm near Cane Creek and US 431.  The tornado proceeded northeast and ended at 4:10 pm near Broadwells Mill just west of Jacksonville.  Preliminary estimates have 10 to 20 homes damaged, numerous outbuildings and barns destroyed, and several mobile homes damaged.  Two farming operations had several buildings destroyed.  A cemetery on US 431 sustained damage and 5 people received minor injuries when struck by flying debris.  The tornado was 7.7 miles long and 250 yards wide at its widest point.  Beg:  33 44.218/85 53.709  End:  33 48.425/85 47.488",PDS
200508,29,1453,200508,29,1456,1197920,5471193,ALABAMA,1,2005,August,Tornado,C,15,CALHOUN,BMX,29-AUG-05 14:53:00,CST,29-AUG-05 14:56:00,0,0,0,0,115K,,NWS STORM SURVEY,,,,,F1,1.5,30,,,,,6,SW,PIEDMONT,6,SW,PIEDMONT,33.85,-85.66667,33.86667,-85.66667,,"National Weather Service meteorologists conducted a ground survey on Tuesday August 30, 2005. It has been determined that an F1 tornado occurred with winds estimated around 80 miles an hour in Calhoun County.  The tornado touched down at approximately 353 PM CDT, just east of State Highway 9 in the Nances Creek community. This is about 6 miles southwest of Piedmont. The tornado crossed State Highway 9 moving northwest and damaged three homes along Hollingsworth Road. The tornado lifted around 356 PM CDT near Hurricane Mountain. The tornado damage path was 1.52 miles long and 30 yards wide at its widest point. Several trees were uprooted or snapped off along the path of the tornado. At least two homes and a mobile home were damaged along Hollingsworth Road.Begin:  33 50.84/85 39.70     End:  33 51.96/85 40.54",PDS
200604,8,52,200604,8,53,1208588,5504069,ALABAMA,1,2006,April,Tornado,C,15,CALHOUN,BMX,08-APR-06 00:52:00,CST,08-APR-06 00:53:00,0,0,0,0,14K,,NWS STORM SURVEY,,,,,F1,.8,120,,,,,1,SSW,OHATCHEE,1,SSW,OHATCHEE,33.76667,-86,33.76667,-86,,The tornado briefly touched down south of Ohatchee. It knocked down or snapped off several trees along the path. A few small out-buildings were also damaged along the path. One fallen tree landed on a home and produced damage. The tornado affected areas along Boiling Springs Road (County Road 73).,PDS
201104,27,1804,201104,27,1822,50455,314900,ALABAMA,1,2011,April,Tornado,C,15,CALHOUN,BMX,27-APR-11 18:04:00,CST-6,27-APR-11 18:22:00,25,0,8,0,122.00M,0.00K,NWS Storm Survey,,,,,EF4,17.62,1760,BMX,AL,055,ETOWAH,4,NNW,MIDDLETON,5,N,TREDEGAR,33.8291,-86.0526,33.9419,-85.7771,"A powerful storm system crossed the Southeast United States on Wednesday, April 27, 2011, resulting in a large and deadly tornado outbreak.  This epic event broke the record for number of tornadoes in a day for the state of Alabama, becoming the most significant tornado outbreak in the state���s history. ||Central Alabama had two rounds of severe weather that day. During the early morning hours, a Quasi-Linear Convective System quickly moved across the northern half of the National Weather Service, Birmingham county warning area. Straight line winds of 90 mph (78kts) or greater and 11 tornadoes lead to widespread damage and power outages. During the afternoon, long-lived supercell thunderstorms produced long-track, strong and violent tornadoes. Destruction and loss of life across many towns and communities was devastating. ||The hardest hit areas included Shottsville and Hackleburg, both in Marion County, where winds of 160 mph and 210 mph respectively, caused unimagineable damage. Cordova, in Walker County, was hit twice; by a tornado along the Quasi-Linear Convective System during the early morning hours and again in the afternoon by a long-track EF4 tornado. A long track tornado moved across the city of Tuscaloosa and the western suburbs of Birmingham, resulting in the complete destruction of whole neighborhoods and numerous injuries and fatalities in those heavily populated areas. The same parent supercell produced another violent tornado in east Central Alabama as it tracked across St. Clair and Calhoun Counties, resulting in additional fatalities and incredible damage to a number of neighborhoods. Another violent EF4 tornado tracked across portions of Elmore and Tallapoosa Counties, including Lake Martin, destroying numerous homes and a large section of a mobile home park. ||Most of the violent tornadoes from this day were captured on video by a number of people, including storm spotters and chasers, as well as numerous television news crews and remotely controlled web-enabled video cameras.  This allowed unprecedented coverage and viewing of this historic event in real time from people worldwide.","This tornado initially touched down in eastern Jefferson County, north northeast of Trussville and moved northeast through portions of St. Clair, Calhoun, Etowah and Cherokee Counties, before it moved into Georgia, across Polk, Floyd and Bartow (See Storm Data Peachtree City) Counties. The tornado crossed Neely Henry Lake and into Calhoun County at Eagle Cove Rd., northwest of Ohatchee. At this point, the tornado had winds of 180 mph, an EF4 rating, and a path width of 1 mile. As the tornado crossed AL Hwy 77, numerous homes were leveled and mobile homes were demolished. Trees were left as stumps. Four fatalities occurred in this area. The tornado continued to cause extensive damage as it moved northeast crossing US Hwy 431 at Colwell and CR 23, where several homes and one church were destroyed. Four fatalities occurred in this area. As the tornado approached the Etowah County line, it weakened to an EF2 with winds of 120 mph, but continued to cause damage. Several homes were damaged and one mobile home destroyed along CR 64. The tornado moved into Etowah County east of Cannonball Rd. ||This tornado was produced by a supercell thunderstorm that began in Newton County Mississippi at 13:54 pm CST, and dissipated in Macon County, North Carolina at approximately 21:18 pm CST. This supercell spawned several strong to violent tornadoes along its long path, which included another violent EF4 tornado that crossed portions of Tuscaloosa and western suburbs of the Birmingham.",CSV
201104,27,1824,201104,27,1825,50455,314923,ALABAMA,1,2011,April,Tornado,C,15,CALHOUN,BMX,27-APR-11 18:24:00,CST-6,27-APR-11 18:25:00,1,0,1,0,4.00M,0.00K,NWS Storm Survey,,,,,EF1,1.7,1400,BMX,AL,019,CHEROKEE,6,N,MAXWELLBORN,6,NW,PIEDMONT SPGS,33.9558,-85.7399,33.967,-85.7135,"A powerful storm system crossed the Southeast United States on Wednesday, April 27, 2011, resulting in a large and deadly tornado outbreak.  This epic event broke the record for number of tornadoes in a day for the state of Alabama, becoming the most significant tornado outbreak in the state���s history. ||Central Alabama had two rounds of severe weather that day. During the early morning hours, a Quasi-Linear Convective System quickly moved across the northern half of the National Weather Service, Birmingham county warning area. Straight line winds of 90 mph (78kts) or greater and 11 tornadoes lead to widespread damage and power outages. During the afternoon, long-lived supercell thunderstorms produced long-track, strong and violent tornadoes. Destruction and loss of life across many towns and communities was devastating. ||The hardest hit areas included Shottsville and Hackleburg, both in Marion County, where winds of 160 mph and 210 mph respectively, caused unimagineable damage. Cordova, in Walker County, was hit twice; by a tornado along the Quasi-Linear Convective System during the early morning hours and again in the afternoon by a long-track EF4 tornado. A long track tornado moved across the city of Tuscaloosa and the western suburbs of Birmingham, resulting in the complete destruction of whole neighborhoods and numerous injuries and fatalities in those heavily populated areas. The same parent supercell produced another violent tornado in east Central Alabama as it tracked across St. Clair and Calhoun Counties, resulting in additional fatalities and incredible damage to a number of neighborhoods. Another violent EF4 tornado tracked across portions of Elmore and Tallapoosa Counties, including Lake Martin, destroying numerous homes and a large section of a mobile home park. ||Most of the violent tornadoes from this day were captured on video by a number of people, including storm spotters and chasers, as well as numerous television news crews and remotely controlled web-enabled video cameras.  This allowed unprecedented coverage and viewing of this historic event in real time from people worldwide.","This tornado initially touched down in eastern Jefferson County, north northeast of Trussville and moved northeast through portions of St. Clair, Calhoun, Etowah and Cherokee Counties. The tornado then moved into Georgia, across Polk, Floyd and Bartow (See Storm Data Peachtree City) Counties. The tornado moved into Calhoun County for the second time, where it quickly tracked across the far northwestern corner of the county, west of Knightens Crossroads. As the tornado crossed US Hwy 278, several homes sustained significant roof damage, consistent with an EF1 rating and winds of 95 mph. Additional homes were damaged along the Calhoun/Cherokee County line. Significant tree damage was noted along this portion of the path. The tornado crossed into Cherokee County north of the intersection of US Hwy 278 and CR 19. One fatality occurred along this portion of the tornado path.||This tornado was produced by a supercell thunderstorm that began in Newton County Mississippi at 13:54 pm CST, and eventually dissipated in Macon County, North Carolina at approximately 21:18 pm CST. This supercell spawned several strong to violent tornadoes along its long path, which included another violent EF4 tornado that crossed portions of Tuscaloosa and western suburbs of the Birmingham.",CSV
200808,25,1119,200808,25,1120,22264,133418,ALABAMA,1,2008,August,Tornado,C,15,CALHOUN,BMX,25-AUG-08 11:19:00,CST-6,25-AUG-08 11:20:00,0,0,0,0,150.00K,0.00K,NWS Storm Survey,,,,,EF1,1.1,250,,,,,1,NNE,CHOCCOLOCCO,2,S,PLEASANT RIDGE,33.6815,-85.6949,33.6972,-85.6981,"Tropical Storm Fay, and its remnants after landfall, brought high winds, heavy rain, and numerous tornadoes to Central Alabama.","The tornado touched down on Cross Creek Road, just east of Choccolocco Road. It then moved north-northwestward, roughly parallel to Choccolocco Road, and lifted near the intersection of Choccolocco Road and Cobb Road. One auto shop was destroyed and two houses sustained moderate damage. Additionally, one home suffered light damage and 50 to 100 trees were snapped off or uprooted along the path. This tornado was associated with the remnants of Tropical Storm Fay.",CSV
200808,25,1111,200808,25,1111,22264,133414,ALABAMA,1,2008,August,Tornado,C,15,CALHOUN,BMX,25-AUG-08 11:11:00,CST-6,25-AUG-08 11:11:00,0,0,0,0,10.00K,0.00K,NWS Storm Survey,,,,,EF1,0.01,50,,,,,1,SW,OLD DAVISVILLE,1,SW,OLD DAVISVILLE,33.6415,-85.6832,33.6415,-85.6832,"Tropical Storm Fay, and its remnants after landfall, brought high winds, heavy rain, and numerous tornadoes to Central Alabama.","One home was significantly damaged by a brief tornado touched down in the Sugar Valley subdivision, just off Old Downing Mill Road, in southeastern Calhoun County.  This tornado was associated with the remnants of Tropical Storm Fay.",CSV
200804,4,1424,200804,4,1424,16976,98274,ALABAMA,1,2008,April,Tornado,C,15,CALHOUN,BMX,04-APR-08 14:24:00,CST-6,04-APR-08 14:24:00,0,0,0,0,0.00K,0.00K,Trained Spotter,,,,,EF0,0.1,50,,,,,1,SW,FT MC CLELLAN,1,SW,FT MC CLELLAN,33.7133,-85.7877,33.7133,-85.7877,"A slow moving cold front helped spark thunderstorms across Central Alabama, some of which produced large hail, damaging winds, and tornadoes.","A brief tornado touchdown was captured on home video in the Fort McClellan area.  Upon subsequent inspection, no visible damage could be found.",CSV
202211,30,137,202211,30,138,175655,1066689,ALABAMA,1,2022,November,Tornado,C,15,CALHOUN,BMX,30-NOV-22 01:37:00,CST-6,30-NOV-22 01:38:00,0,0,0,0,0.00K,0.00K,NWS Storm Survey,,,,,EF0,0.79,300,,,,,4,SSW,BOILING SPGS,3,SSW,BOILING SPGS,33.6806,-86.064,33.6878,-86.0539,A very dynamic and deepening low pressure system moved through the Ohio Valley states on November 29-30 with a trailing cold.  The air mass across Central Alabama was initially stable during the day on November 29th with surface dewpoints in the 40s and 50s.  Instability increased dramatically the evening of the 29th as 60 plus surface dewpoints advected northward into Central Alabama. A QLCS developed ahead of the approaching cold front in addition to discrete thunderstorms.,"National Weather Service meteorologists surveyed damage in southwest Calhoun County and determined that it was consistent with an EF0 tornado, with maximum winds near 75 mph.  The tornado began near the intersection of Mitchellville Road and Mayfield Road, where damage consisted of several uprooted trees and snapped trunks.|The tornado continued northeast toward Mudd Street where the most severe damage occurred at two residences. Two homes also sustained minor roof damage. The tornado likely dissipated as it moved past Mudd Street as no other damage was observed downstream.  There was also evidence of a weak TDS associated with this tornado from the KBMX radar.",CSV
201803,19,1923,201803,19,1950,124410,747007,ALABAMA,1,2018,March,Tornado,C,15,CALHOUN,BMX,19-MAR-18 19:23:00,CST-6,19-MAR-18 19:50:00,4,0,0,0,0.00K,0.00K,NWS Storm Survey,,,,,EF3,20.92,1900,BMX,AL,029,CLEBURNE,3,SSW,READS MILL,4,E,RABBITTOWN,33.8453,-85.9472,33.8031,-85.5863,"Six tornadoes and hail up to 3 inches in diameter affected the northern areas of Central Alabama on the afternoon and evening hours of March 19th, with a rare PDS (Particularly Dangerous Situation) Tornado Watch issued for a large portion of Central Alabama. An environment favorable for significant severe thunderstorms developed as a low-amplitude upper-level trough moved into the region with a deepening surface low passing across far north Alabama.  These two features resulted in a deep column of strong wind shear with 0-6km Bulk Shear values of 60-70 knots. Additionally, moist southerly flow, warm surface temperatures, and colder temperatures aloft yielded a moderately unstable air mass. Initially, thunderstorms were producing large to very large hail. However, the tornado threat increased in the late afternoon and evening hours as wind speeds at low levels increased with the arrival of a low-level jet.","National Weather Service meteorologists surveyed damage in northern Calhoun Calhoun County and determined that the damage was consistent with an EF3  tornado, with maximum sustained winds near 150 mph. The tornado first touched down west of US Highway 431 north of town of Wellington, where it rapidly intensified and widened. It snapped and uprooted numerous trees along US Highway 431. Several homes were damaged by the falling trees. The tornado proceeded eastward across Websters Road and Broughton Road with scattered tree damage. As the tornado crossed Old Sulphur Springs Road, two homes were damaged with scores of trees snapped or uprooted. At Angel Station Road, the tornado filled the valley from one side to the other and caused extensive tree and home damage. An electrical transmission tower line was toppled at this point, but it was believed that flying debris compromised the structure. The tornado continued eastward and destroyed the sanctuary at West Point Baptist Church. Additional structures were severely damaged at the church. The tornado entered the City of Jacksonville where it gained strength into the EF3 category, with winds around 140 mph. It removed most of the roof and the top floor of two buildings in an apartment complex. The tornado affected the entire campus of Jacksonville State University. Several buildings sustained significant damage. The most intense winds remained north of the campus however, mowing down trees and causing direct damage to homes. As the tornado crossed Highway 21, it caused caused major damage to the Merrill Building. It then moved into a highly populated zone, where scores of homes suffered major damage and rendered uninhabitable. The tornado maintained its strength as it crossed Choccolocco Mountain, and winds funneled up the valley uprooting or snapping trees. It caused major damage to a number of homes on the mountainside. Damaged continued all the way up to just south of the peak of the mountain. As the tornado moved down the eastern side of Choccolocco Mountain, it narrowed substantially and became stronger once it reached the valley below. Stands of trees were wiped out with trunks snapped relatively close to ground level. Perhaps the most intense damage along the entire track occurred along Hollingsworth Road, where a site built home was completely destroyed with only a portion of one interior wall left standing. Debris from this home was blown downstream across a field with some evidence of wind rowing. Hay bales adjacent to the home, estimated at 800 pounds each, were thrown up to 300 yards to the east. Maximum winds at this location were estimated at 150 mph. The tornado continued east-southeast and downed thousands of trees in the Talladega National Forest and crossed into Cleburne County just south of County Road 534.",CSV
